2019-07-25 15:28:52.000487: step 5, loss = 10.60 (25.3 examples/sec; 1.267 sec/batch)
2019-07-25 15:28:58.255645: step 10, loss = 11.70 (25.7 examples/sec; 1.244 sec/batch)
2019-07-25 15:29:04.503502: step 15, loss = 13.21 (25.5 examples/sec; 1.256 sec/batch)
2019-07-25 15:29:10.733205: step 20, loss = 6.71 (25.6 examples/sec; 1.248 sec/batch)
2019-07-25 15:29:16.916107: step 25, loss = 8.25 (25.9 examples/sec; 1.236 sec/batch)
2019-07-25 15:29:23.132960: step 30, loss = 6.97 (25.8 examples/sec; 1.239 sec/batch)
2019-07-25 15:29:29.345913: step 35, loss = 9.16 (25.8 examples/sec; 1.242 sec/batch)
2019-07-25 15:29:35.546972: step 40, loss = 6.56 (26.0 examples/sec; 1.231 sec/batch)
2019-07-25 15:29:41.754883: step 45, loss = 5.88 (26.0 examples/sec; 1.231 sec/batch)
2019-07-25 15:29:47.972828: step 50, loss = 6.31 (25.5 examples/sec; 1.257 sec/batch)
2019-07-25 15:29:54.209654: step 55, loss = 6.06 (25.9 examples/sec; 1.234 sec/batch)
2019-07-25 15:30:00.450130: step 60, loss = 7.16 (25.6 examples/sec; 1.248 sec/batch)
2019-07-25 15:30:06.666715: step 65, loss = 7.31 (26.0 examples/sec; 1.229 sec/batch)
2019-07-25 15:30:12.885905: step 70, loss = 7.11 (26.0 examples/sec; 1.229 sec/batch)
2019-07-25 15:30:19.102414: step 75, loss = 7.22 (25.8 examples/sec; 1.238 sec/batch)
2019-07-25 15:30:25.315324: step 80, loss = 6.98 (25.9 examples/sec; 1.238 sec/batch)
2019-07-25 15:30:31.536736: step 85, loss = 6.12 (25.6 examples/sec; 1.250 sec/batch)
2019-07-25 15:30:37.773616: step 90, loss = 7.41 (25.6 examples/sec; 1.250 sec/batch)
2019-07-25 15:30:43.998711: step 95, loss = 7.34 (25.6 examples/sec; 1.250 sec/batch)
2019-07-25 15:30:50.251294: step 100, loss = 6.28 (25.8 examples/sec; 1.239 sec/batch)
2019-07-25 15:30:59.974248: step 105, loss = 5.98 (25.6 examples/sec; 1.252 sec/batch)
2019-07-25 15:31:06.219373: step 110, loss = 6.32 (25.8 examples/sec; 1.240 sec/batch)
2019-07-25 15:31:12.411164: step 115, loss = 6.82 (25.7 examples/sec; 1.246 sec/batch)
2019-07-25 15:31:18.645670: step 120, loss = 5.75 (25.7 examples/sec; 1.244 sec/batch)
2019-07-25 15:31:24.841791: step 125, loss = 8.53 (25.8 examples/sec; 1.238 sec/batch)
2019-07-25 15:31:31.006882: step 130, loss = 6.75 (26.2 examples/sec; 1.223 sec/batch)
2019-07-25 15:31:37.182199: step 135, loss = 6.69 (25.9 examples/sec; 1.236 sec/batch)
2019-07-25 15:31:43.409272: step 140, loss = 6.83 (25.5 examples/sec; 1.255 sec/batch)
